Account_Number,Site_Name,Meter_ID,Billing_Start,Billing_End,Usage_kWh,Peak_Demand_kW,Rate_Code,Charges_INR
ACC-MUM-1001,Mumbai Data Center - Block A,MTR-DC01,15/09/2023,14/10/2023,48250.5,138.4,HT-1,952144.00
ACC-MUM-1001,Mumbai Data Center - Block A,MTR-DC01,15/10/2023,14/11/2023,45230.5,125.4,HT-1,892455.00
ACC-MUM-1001,Mumbai Data Center - Block A,MTR-DC01,15/11/2023,14/12/2023,51080.0,142.8,HT-1,1007278.00
ACC-MUM-1002,Mumbai Data Center - Block B,MTR-DC02,15/09/2023,14/10/2023,39420.0,112.0,HT-1,777516.00
ACC-MUM-1002,Mumbai Data Center - Block B,MTR-DC02,15/10/2023,14/11/2023,37600.5,108.3,HT-1,741369.00
ACC-MUM-1002,Mumbai Data Center - Block B,MTR-DC02,15/11/2023,14/12/2023,40100.0,115.6,HT-1,790772.00
ACC-MUM-1003,Mumbai Admin HQ,MTR-HQ01,22/09/2023,21/10/2023,8420.0,28.5,LT-2,166010.00
ACC-MUM-1003,Mumbai Admin HQ,MTR-HQ01,22/10/2023,21/11/2023,7980.0,26.2,LT-2,157346.00
ACC-MUM-1003,Mumbai Admin HQ,MTR-HQ01,22/11/2023,21/12/2023,9150.0,31.0,LT-2,180458.00
ACC-MUM-1004,Mumbai Warehouse Complex,MTR-WH01,01/10/2023,31/10/2023,6240.0,18.8,LT-2,123066.00
ACC-MUM-1004,Mumbai Warehouse Complex,MTR-WH01,01/11/2023,30/11/2023,5980.0,17.5,LT-2,117935.00
ACC-MUM-1004,Mumbai Warehouse Complex,MTR-WH01,01/12/2023,31/12/2023,6510.0,19.6,LT-2,128402.00
